Muhurta Type,Date,Day,Month,Paksha,Tithi,Nakshatra,Lagna,Time (From - To),Panchanga,,,
Upanayana,4/26/2026,Sunday,Vaishakha,Shukla,Dashami,Magha,Karka,11:30 AM,VM,,,
Upanayana,3/25/2026,Wednesday,Chaitra,Shukla,Saptami,Mrigashira,Vrushabha/Mithuna,09:05 AM - 11:30 AM,VM,,,
Upanayana,3/27/2026,Friday,Chaitra,Shukla,Navami,Punarvasu,Vrushabha,9:40 AM,VM,,,
Upanayana,4/6/2026,Monday,Chaitra,Krishna,Chaturthi,Anuradha,Vrushabha/Mithuna,09:00 AM - 10:40 AM,VM,,,
Upanayana,4/23/2026,Thursday,Vaishakha,Shukla,Saptami,Punarvasu,Vrushabha/Mithuna,08:25 AM - 11:20 AM,VM,,,
Upanayana,5/3/2026,Sunday,Vaishakha,Krishna,Dwitiya,Anuradha,Mithuna,10:10 AM,VM,,,
Upanayana,6/17/2026,Wednesday,Jyeshta,Shukla,Tritiya,Punarvasu,Mithuna/?,07:35 AM - 08:40 AM,VM,,,
Upanayana,2/24/2027,Wednesday,Magha,Krishna,Chaturthi,Hasta,Vrushabha,11:15 AM,VM,,,
Upanayana,2/25/2027,Thursday,Magha,Krishna,Panchami,Chitra,Vrushabha,11:10 AM,VM,,,
Upanayana,2/26/2027,Friday,Magha,Krishna,Shashti,Swati,Meena,7:40 AM,VM,,,
Upanayana,3/10/2027,Wednesday,Phalguna,Krishna,Dwitiya,U:Bhadrapada,Meena,7:00 AM,VM,,,
Upanayana,3/12/2027,Friday,Phalguna,Shukla,Chaturthi,Ashwini,Vrushabha,10:15 AM,VM,,,
Upanayana,3/24/2027,Wednesday,Phalguna,Krishna,Dwitiya,Chitra,Vrushabha/Mithuna,10:00 AM - 11:35 AM,VM,,,
Vivaha (Marriage),4/26/2026,Sunday,Vaishakha,Shukla,Dashami,Magha,Mithuna,9:40 AM,UM,,,
Vivaha (Marriage),4/30/2026,Thursday,Vaishakha,Shukla,Chaturdashi,Chitra,Mithuna,9:30 AM,UM,,,
Vivaha (Marriage),5/1/2026,Friday,Vaishakha,Shukla,Pournima,Swati,Mithuna,10:40 AM,UM,,,
Vivaha (Marriage),5/3/2026,Sunday,Vaishakha,Krishna,Dwitiya,Anu,Abhijit,12:20 PM,UM,,,
Vivaha (Marriage),5/6/2026,Wednesday,Vaishakha,Krishna,Panchami,Moolam,Abhijit,12:20 PM,UM,,,
Vivaha (Marriage),5/8/2026,Friday,Vaishakha,Krishna,Shashti,U:Shadha,Abhijit,12:20 PM,UM,,,
Vivaha (Marriage),5/9/2026,Saturday,Vaishakha,Krishna,Sapthami,Shravana,Vrushabha,8:12 AM,UM,,,
Vivaha (Marriage),5/10/2026,Sunday,Vaishakha,Krishna,Ashtami,Dhanishta,Vrushabha,8:08 AM,UM,,,
Vivaha (Marriage),6/24/2026,Wednesday,Nija Jyeshta,Shukla,Dashami,Chitra,Mithuna,7:25 AM,UM,,,
Vivaha (Marriage),7/5/2026,Sunday,Nija Jyeshta,Krishna,Panchami,Shatabhisha,Abhijit,12:27 PM,UM,,,
Vivaha (Marriage),7/8/2026,Wednesday,Nija Jyeshta,Krishna,Ashtami,Revati,Abhijit,12:27 PM,UM,,,
Vivaha (Marriage),11/25/2026,Wednesday,Karthika,Krishna,Paratipada,Rohini,Abhijit,12:00 PM,UM,,,
Gruhapravesha (Housewarming),4/23/2026,Thursday,Vaishakha,Shukla,Sapthami,Punarvasu,Vrushabha,8:20 AM,UM,,,
Gruhapravesha (Housewarming),4/26/2026,Sunday,Vaishakha,Shukla,Dashami,Magha,Mithuna,9:40 AM,UM,,,
Gruhapravesha (Housewarming),5/1/2026,Friday,Vaishakha,Shukla,Pournima,Swati,Mithuna,10:40 AM,UM,,,
Gruhapravesha (Housewarming),5/6/2026,Wednesday,Vaishakha,Krishna,Panchami,Moolam,Makara,9:05 AM,UM,,,
Gruhapravesha (Housewarming),12/3/2026,Thursday,Karthika,Krishna,Dashami,U:Phalguni,Dhanu,8:00 AM,UM,,,
Gruhapravesha (Housewarming),12/30/2026,Wednesday,Margashira,Krishna,Sapthami,U:Phalguni,Dhanu,6:20 AM,UM,,,
Gruhapravesha (Housewarming),12/31/2026,Thursday,Margashira,Krishna,Ashtami,Hasta,Dhanu,6:15 AM,UM,,,
Gruhapravesha (Housewarming),1/1/2027,Friday,Margashira,Krishna,Navami,Chitra,Dhanu,6:10 AM,UM,,,
Gruhapravesha (Housewarming),1/2/2027,Saturday,Margashira,Krishna,Dashami,Swati,Dhanu,6:05 AM,UM,,,
Gruhapravesha (Housewarming),2/11/2027,Thursday,Magha,Shukla,Panchami,Revati,Meena,9:45 AM,UM,,,
Gruhapravesha (Housewarming),2/12/2027,Friday,Magha,Shukla,Shashti,Ashwini,Meena,9:35 AM,UM,,,
Gruhapravesha (Housewarming),2/19/2027,Friday,Magha,Shukla,Trayodashi,Pushya,Meena,9:05 AM,UM,,,
Gruhapravesha (Housewarming),2/23/2027,Tuesday,Magha,Krishna,Tritiya,U:Phalguni,Meena,8:50 AM,UM,,,
Gruhapravesha (Housewarming),3/10/2027,Wednesday,Phalguna,Shukla,Dwitiya,U:Bhadrapada,Meena/Vrushabha,07:50 AM - 11:10 AM,UM,,,
Gruhapravesha (Housewarming),3/11/2027,Thursday,Phalguna,Shukla,Tritiya,Revati,Meena/Mesha,07:45 AM - 08:55 AM,UM,,,
Gruhapravesha (Housewarming),3/12/2027,Friday,Phalguna,Shukla,Chaturthi,Ashwini,Meena,7:40 AM,UM,,,
Upanayana,3/20/2026,Friday,Chaitra,Shukla,Dwitiya,Revati,Vrushabha,10:30 AM,UM,,,
Upanayana,3/25/2026,Wednesday,Chaitra,Shukla,Saptami,Mrigashira,Vrushabha,10:10 AM,UM,,,
Upanayana,4/23/2026,Thursday,Vaishakha,Shukla,Saptami,Punarvasu,Vrushabha,8:20 AM,UM,,,
